Volume,Ink Combination
6.736858665643245e-05,"Lamy crystal beryl, Lamy red, Mv Caribbean , Noodlers Firefly"
6.726187658195594e-05,"Lamy crystal beryl, Lamy red, KWZ turquoise , Noodlers Firefly"
6.679074690494688e-05,"Lamy crystal beryl, Mv Caribbean , Noodlers Firefly, Peach haze D"
6.599891520764414e-05,"Lamy crystal beryl, KWZ turquoise , Noodlers Firefly, Peach haze D"
6.448412974082248e-05,"Lamy red, Mv Caribbean , Noodlers Firefly, Platinum violet"
6.443889038407998e-05,"Lamy red, KWZ turquoise , Noodlers Firefly, Platinum violet"
6.415206040168239e-05,"Lamy crystal beryl, Lamy red, Mg turquoise, Noodlers Firefly"
6.403843083663956e-05,"Mv Caribbean , Noodlers Firefly, Peach haze D, Platinum violet"
6.335750130469416e-05,"Lamy red, Mv Caribbean , Noodlers Firefly, Rose cyclamen H"
6.334932304064735e-05,"Lamy red, KWZ turquoise , Noodlers Firefly, Rose cyclamen H"
6.332952994432814e-05,"KWZ turquoise , Noodlers Firefly, Peach haze D, Platinum violet"
6.303830413692986e-05,"Lamy crystal beryl, Mg turquoise, Noodlers Firefly, Peach haze D"
6.280908167413439e-05,"Lamy crystal beryl, Mv Caribbean , Noodlers Firefly, Orange D"
6.259764007254061e-05,"Mv Caribbean , Noodlers Firefly, Rose cyclamen H, Peach haze D"
6.217490240387248e-05,"Lamy crystal beryl, KWZ turquoise , Noodlers Firefly, Orange D"
6.193771142023788e-05,"KWZ turquoise , Noodlers Firefly, Rose cyclamen H, Peach haze D"
6.168691094561761e-05,"Lamy crystal beryl, Lamy red, R torquay, Noodlers Firefly"
6.149759778189859e-05,"Lamy red, Mg turquoise, Noodlers Firefly, Platinum violet"
6.123447290257083e-05,"Lamy crystal beryl, Lamy red, Noodlers Firefly, Inkbara cyan"
6.0936150240015755e-05,"Lamy red, Mg turquoise, Noodlers Firefly, Rose cyclamen H"
6.082310242690326e-05,"Lamy crystal beryl, R torquay, Noodlers Firefly, Peach haze D"
6.066062277063932e-05,"Lamy crystal beryl, Lamy red, Pw denneweg groen , Noodlers Firefly"
6.0658293316282105e-05,"Lamy crystal beryl, Lamy red, Noodlers Firefly, Bleu pervenche h"
6.041170408798088e-05,"Mg turquoise, Noodlers Firefly, Peach haze D, Platinum violet"
6.021958071664232e-05,"Lamy crystal beryl, Noodlers Firefly, Peach haze D, Inkbara cyan"
6.0131906631951796e-05,"V karol , Lamy red, Mv Caribbean , Noodlers Firefly"
6.0102097089141016e-05,"V karol , Lamy red, KWZ turquoise , Noodlers Firefly"
5.997067182020382e-05,"Lamy crystal beryl, Lamy red, C photon, Noodlers Firefly"
5.980657546124584e-05,"Lamy red, Mv Caribbean , I tsutsuji , Noodlers Firefly"
5.97950814624844e-05,"Mv Caribbean , Noodlers Firefly, Orange D, Platinum violet"
5.974561966262584e-05,"Lamy crystal beryl, Mg turquoise, Noodlers Firefly, Orange D"
5.9596852895814754e-05,"Lamy red, I tsutsuji , KWZ turquoise , Noodlers Firefly"
5.945458800240545e-05,"Mg turquoise, Noodlers Firefly, Rose cyclamen H, Peach haze D"
5.940373921957248e-05,"Lamy crystal beryl, Noodlers Firefly, Bleu pervenche h, Peach haze D"
5.935276548842162e-05,"Lamy crystal beryl, Lamy red, Mg sapphire, Noodlers Firefly"
5.925111421535409e-05,"KWZ turquoise , Noodlers Firefly, Orange D, Platinum violet"
5.898279403440222e-05,"Lamy red, R torquay, Noodlers Firefly, Platinum violet"
5.8981993676063636e-05,"Lamy crystal beryl, Pw denneweg groen , Noodlers Firefly, Peach haze D"
5.876952961905606e-05,"Mv Caribbean , Noodlers Firefly, Rose cyclamen H, Orange D"
5.87005020836453e-05,"Mv Caribbean , I tsutsuji , Noodlers Firefly, Peach haze D"
5.849259556868504e-05,"Lamy crystal beryl, C photon, Noodlers Firefly, Peach haze D"
5.840555052608745e-05,"Lamy red, Noodlers Firefly, Platinum violet, Inkbara cyan"
5.82867870447557e-05,"KWZ turquoise , Noodlers Firefly, Rose cyclamen H, Orange D"
5.8285178160063716e-05,"Lamy red, R torquay, Noodlers Firefly, Rose cyclamen H"
5.820699525516732e-05,"R torquay, Noodlers Firefly, Peach haze D, Platinum violet"
5.8117670195936494e-05,"I tsutsuji , KWZ turquoise , Noodlers Firefly, Peach haze D"
5.8038243028435784e-05,"Lamy red, Noodlers Firefly, Bleu pervenche h, Platinum violet"
5.800512526642352e-05,"Lamy crystal beryl, R torquay, Noodlers Firefly, Orange D"
5.7840310491675036e-05,"Lamy crystal beryl, Lamy red, Vd parrot fish, Noodlers Firefly"
5.775531753160533e-05,"Lamy red, Noodlers Firefly, Rose cyclamen H, Inkbara cyan"
5.770264733387749e-05,"Lamy red, Pw denneweg groen , Noodlers Firefly, Platinum violet"
5.760626645824881e-05,"Lamy crystal beryl, Noodlers Firefly, Orange D, Inkbara cyan"
5.749045538528752e-05,"Lamy red, Pw denneweg groen , Noodlers Firefly, Rose cyclamen H"
5.740987665699121e-05,"Noodlers Firefly, Peach haze D, Platinum violet, Inkbara cyan"
5.7367011661917025e-05,"Lamy red, C photon, Noodlers Firefly, Platinum violet"
5.731301463682088e-05,"V karol , Lamy red, Mg turquoise, Noodlers Firefly"
5.724956529707611e-05,"Mv Caribbean , Noodlers Firefly, Peach haze D, Opportunity"
5.721792047930861e-05,"Lamy red, Noodlers Firefly, Rose cyclamen H, Bleu pervenche h"
5.7113511906668e-05,"Lamy crystal beryl, Mv Caribbean , PR Neon Yellow, Peach haze D"
5.707131635423672e-05,"Lamy red, KWZ turquoise , Noodlers Firefly, Opportunity"
5.707077145340349e-05,"R torquay, Noodlers Firefly, Rose cyclamen H, Peach haze D"
5.7061782870888635e-05,"Lamy red, Mv Caribbean , Noodlers Firefly, Opportunity"
5.7057640306095376e-05,"Lamy red, Mg sapphire, Noodlers Firefly, Platinum violet"
5.6937249932867466e-05,"Mg turquoise, Noodlers Firefly, Orange D, Platinum violet"
5.686501026818903e-05,"Lamy red, C photon, Noodlers Firefly, Rose cyclamen H"
5.668820884742507e-05,"Noodlers Firefly, Bleu pervenche h, Peach haze D, Platinum violet"
5.666972228036035e-05,"KWZ turquoise , Noodlers Firefly, Peach haze D, Opportunity"
5.665987541471892e-05,"Lamy crystal beryl, Mg sapphire, Noodlers Firefly, Peach haze D"
5.662048416825426e-05,"Lamy crystal beryl, Pw denneweg groen , Noodlers Firefly, Orange D"
5.657057521187044e-05,"Lamy crystal beryl, Lamy red, O crystal blue, Noodlers Firefly"
5.643602949297195e-05,"Lamy crystal beryl, KWZ turquoise , PR Neon Yellow, Peach haze D"
5.641864076455595e-05,"Lamy crystal beryl, Noodlers Firefly, Bleu pervenche h, Orange D"
5.639538803363505e-05,"Noodlers Firefly, Rose cyclamen H, Peach haze D, Inkbara cyan"
5.631748978176733e-05,"Mg turquoise, Noodlers Firefly, Rose cyclamen H, Orange D"
5.625572173154449e-05,"Lamy crystal beryl, Vd parrot fish, Noodlers Firefly, Peach haze D"
5.61100702962651e-05,"Lamy red, Mg sapphire, Noodlers Firefly, Rose cyclamen H"
5.609786596281198e-05,"Pw denneweg groen , Noodlers Firefly, Peach haze D, Platinum violet"
5.598507950142143e-05,"Lamy crystal beryl, Lamy red, Mv Caribbean , PR Neon Yellow"
5.595323547872374e-05,"Lamy crystal beryl, Lamy red, KWZ turquoise , PR Neon Yellow"
5.5919247557867514e-05,"Lamy red, Mg turquoise, I tsutsuji , Noodlers Firefly"
5.58893918249194e-05,"C photon, Noodlers Firefly, Peach haze D, Platinum violet"
5.5827528490769125e-05,"Lamy crystal beryl, Lamy red, Robert Oster Australian Opal Blue, Noodlers Firefly"
5.5751117292226484e-05,"Lamy crystal beryl, Lamy red, Noodlers Firefly, epson cyan"
5.558266588732085e-05,"Noodlers Firefly, Rose cyclamen H, Bleu pervenche h, Peach haze D"
5.550163644108754e-05,"Pw denneweg groen , Noodlers Firefly, Rose cyclamen H, Peach haze D"
5.548614900782873e-05,"Lamy crystal beryl, C photon, Noodlers Firefly, Orange D"
5.542666877909266e-05,"Lamy red, Vd parrot fish, Noodlers Firefly, Platinum violet"
5.533989344288101e-05,"Lamy crystal beryl, Mv Caribbean , Noodlers Firefly, Orange soleil"
5.533146681146911e-05,"W dracula, Lamy red, Mv Caribbean , Noodlers Firefly"
5.5300687060202584e-05,"R torquay, Noodlers Firefly, Orange D, Platinum violet"
5.511738811135482e-05,"W dracula, Lamy red, KWZ turquoise , Noodlers Firefly"
5.506355331564384e-05,"Mg turquoise, I tsutsuji , Noodlers Firefly, Peach haze D"
5.50502765283118e-05,"Lamy crystal beryl, O crystal blue, Noodlers Firefly, Peach haze D"
5.501486253743563e-05,"C photon, Noodlers Firefly, Rose cyclamen H, Peach haze D"
5.497299558456825e-05,"Iwi frost descent, Lamy crystal beryl, Lamy red, Noodlers Firefly"
5.49705591655021e-05,"Lamy crystal beryl, Lamy red, Noodlers Firefly, Bay state blue"
5.48743176557187e-05,"Mv Caribbean , PR Neon Yellow, Peach haze D, Platinum violet"
5.486207545072981e-05,"Lamy red, Vd parrot fish, Noodlers Firefly, Rose cyclamen H"
5.485600538827943e-05,"Lamy red, Mg turquoise, Noodlers Firefly, Opportunity"
5.482016751604128e-05,"Noodlers Firefly, Orange D, Platinum violet, Inkbara cyan"
